"val","flags"
1956,"2;5;7;8;9;10"
1958,"1;2;5;7;8;9;10"
1960,"3;5;7;8;9;10"
1962,"1;3;5;7;8;9;10"
1964,"2;3;5;7;8;9;10"
1966,"1;2;3;5;7;8;9;10"
1968,"4;5;7;8;9;10"
1970,"1;4;5;7;8;9;10"
1972,"2;4;5;7;8;9;10"
1974,"1;2;4;5;7;8;9;10"
1976,"3;4;5;7;8;9;10"
1978,"1;3;4;5;7;8;9;10"
1980,"2;3;4;5;7;8;9;10"
1982,"2;4;8;16;32;128;256;512;1024"
1984,"6;7;8;9;10"
1986,"1;6;7;8;9;10"
1988,"2;6;7;8;9;10"
1990,"1;2;6;7;8;9;10"
1992,"3;6;7;8;9;10"
1994,"1;3;6;7;8;9;10"
1996,"2;3;6;7;8;9;10"
1998,"1;2;3;6;7;8;9;10"
2000,"4;6;7;8;9;10"
2002,"1;4;6;7;8;9;10"
2004,"2;4;6;7;8;9;10"
2006,"1;2;4;6;7;8;9;10"
2008,"3;4;6;7;8;9;10"
2010,"1;3;4;6;7;8;9;10"
2012,"2;3;4;6;7;8;9;10"
2014,"2;4;8;16;64;128;256;512;1024"
2016,"5;6;7;8;9;10"
2018,"1;5;6;7;8;9;10"
2020,"2;5;6;7;8;9;10"
2022,"1;2;5;6;7;8;9;10"
2024,"3;5;6;7;8;9;10"
2026,"1;3;5;6;7;8;9;10"
2028,"2;3;5;6;7;8;9;10"
2030,"2;4;8;32;64;128;256;512;1024"
2032,"4;5;6;7;8;9;10"
2034,"1;4;5;6;7;8;9;10"
2036,"2;4;5;6;7;8;9;10"
2038,"2;4;16;32;64;128;256;512;1024"
2040,"3;4;5;6;7;8;9;10"
2042,"2;8;16;32;64;128;256;512;1024"
2044,"4;8;16;32;64;128;256;512;1024"
2046,"1;2;3;4;5;6;7;8;9;10"
